Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
30.48,-115.95,80.83,38,0,7.09,1601521157
34.11,-116.43,98.6,12,1,4.7,1601521158
11.28,-15.83,80.87,75,100,7.47,1601521158
-37.88,176.75,59.0,76,100,5.99,1601521158
15.74,-96.47,78.01,89,100,2.28,1601521159
46.59,-112.04,59.0,38,1,6.93,1601521159
13.47,22.2,71.69,80,100,6.64,1601521160
13.59,-89.83,71.01,100,100,3.62,1601521160
7.96,-6.67,69.91,96,100,7.45,1601521160
-27.8,-64.26,82.0,36,14,6.55,1601521161
60.38,92.63,34.74,86,85,4.21,1601521161
-35.66,-63.76,50.54,47,0,4.14,1601521161
60.73,33.55,44.92,91,0,4.12,1601521162
60.55,-151.26,59.0,54,90,12.75,1601521162
13.48,-88.18,74.91,90,100,2.06,1601521162
34.58,119.13,73.72,46,0,6.69,1601521163
22.07,76.5,78.64,70,1,4.41,1601521163
-17.83,-149.27,84.2,62,20,6.93,1601521163
44.73,25.35,55.4,93,99,9.17,1601521164
42.78,-9.06,59.0,89,85,1.01,1601521164
1.49,124.85,91.4,55,20,8.05,1601521164
-26.62,-54.13,78.06,50,15,4.47,1601521164
50.75,33.47,58.57,49,71,18.32,1601521165
-45.42,167.72,49.5,73,94,6.04,1601521165
16.33,-15.0,88.29,36,0,15.66,1601521165
58.0,102.66,32.74,90,100,7.72,1601521166
3.38,-59.8,80.11,64,46,6.89,1601521166
-45.87,170.5,53.01,64,100,8.99,1601521166
32.65,-17.07,69.01,82,75,13.87,1601521167
21.23,-86.73,78.8,88,75,9.42,1601521167
