,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
364,54.05,61.75,50.43,79,0,1.66,1601523274
365,-16.7,-151.02,79.41,77,20,23.96,1601523275
366,48.93,-125.55,60.01,91,75,1.01,1601523093
367,69.41,86.18,28.4,100,75,11.18,1601523275
368,65.7,82.47,37.85,78,100,7.52,1601523276
369,11.0,122.67,86.83,73,98,6.04,1601523276
370,54.42,16.41,55.0,94,100,11.18,1601523276
371,16.83,99.8,89.6,74,40,2.24,1601523277
372,9.94,76.26,82.4,83,40,2.24,1601523247
373,48.81,103.53,37.69,70,94,4.43,1601523277
374,60.82,-115.8,41.0,80,40,9.17,1601523278
375,65.53,72.52,45.09,84,82,8.25,1601523278
376,-22.47,-68.93,57.2,17,53,5.82,1601523278
377,5.67,73.0,81.82,73,79,12.35,1601523279
378,-17.0,145.43,86.0,48,0,14.99,1601523279
379,66.15,-65.71,25.29,86,0,8.14,1601523280
380,57.94,69.02,49.91,85,36,4.85,1601523280
381,58.52,-117.14,48.2,61,40,4.7,1601523280
382,60.12,64.78,48.43,77,0,6.29,1601523281
383,-7.25,35.07,63.84,66,1,1.63,1601523281
384,14.31,121.11,91.0,70,75,4.7,1601523281
385,23.87,76.92,81.23,60,22,9.04,1601523282
386,11.25,-85.87,78.17,82,100,3.51,1601523282
387,-45.58,-72.07,41.0,75,92,5.82,1601523282
388,45.84,-66.48,55.0,100,1,5.82,1601523151
389,68.05,39.51,42.17,89,4,8.32,1601523283
390,64.89,-23.71,38.1,85,100,4.65,1601523253
391,69.3,139.9,29.1,87,42,18.61,1601523282
392,63.76,121.62,37.56,70,31,4.5,1601523284
393,4.41,114.01,87.8,70,40,8.05,1601523284
394,64.5,-165.41,48.99,61,90,16.11,1601523216
395,-34.58,150.86,73.99,42,0,5.99,1601523285
396,45.52,-122.68,72.0,64,75,2.15,1601523130
397,-22.96,14.51,55.4,71,97,2.24,1601523286
398,68.35,-133.72,35.6,93,75,10.29,1601523273
399,-18.93,29.81,59.9,82,5,4.81,1601523286
400,-16.35,-53.76,82.9,21,85,4.18,1601523286
401,29.2,25.52,71.13,69,0,6.33,1601523287
402,45.18,-89.68,46.4,87,1,5.82,1601523124
403,25.12,114.3,79.56,71,78,3.98,1601523010
404,58.18,94.76,36.16,83,99,3.4,1601523288
405,46.43,26.4,48.99,91,100,2.75,1601523288
406,-6.88,112.21,88.81,55,2,6.35,1601523288
407,33.44,129.97,78.8,50,20,12.75,1601523289
408,41.76,86.15,59.63,28,100,3.29,1601523289
409,8.0,98.25,87.01,74,40,6.93,1601523289
410,-2.99,-65.11,72.52,97,99,2.37,1601523131
411,-24.13,19.12,44.08,64,0,8.79,1601523290
412,12.35,32.18,73.96,82,71,9.19,1601523291
413,-33.92,25.57,55.4,87,90,3.36,1601523291
414,20.93,-17.03,71.6,78,79,18.34,1601523292
415,40.43,71.72,50.0,93,0,2.24,1601523227
416,-33.7,-53.46,62.73,94,0,7.72,1601523292
417,11.53,106.92,87.31,65,86,3.71,1601523293
418,-29.15,-59.65,76.68,66,32,6.42,1601523293
419,-31.95,141.43,71.6,40,40,12.75,1601523294
420,4.92,6.26,72.95,96,91,1.03,1601523294
421,34.48,136.7,77.0,53,20,4.7,1601523294
422,43.41,-124.22,60.8,87,90,6.93,1601523126
423,63.32,30.02,47.61,85,75,4.41,1601523295
424,51.87,45.01,51.31,51,100,9.33,1601523295
425,5.03,118.33,86.67,61,4,4.52,1601523296
426,-19.06,-169.92,82.4,74,40,9.17,1601523296
427,4.38,-7.72,76.77,87,100,8.79,1601523248
428,-15.86,-38.88,75.2,78,75,9.17,1601523297
429,-36.83,175.7,57.74,60,34,4.41,1601523297
430,18.44,1.41,87.39,14,4,10.47,1601523298
431,44.02,144.27,61.0,72,75,9.17,1601523298
432,50.2,-66.38,50.0,87,40,12.75,1601523002
433,-15.2,12.15,60.06,89,10,6.82,1601523299
434,7.93,1.98,70.23,98,75,3.15,1601523299
435,13.3,19.7,76.5,76,97,7.94,1601523299
436,50.25,-118.97,61.0,78,5,2.98,1601523300
437,41.32,-73.09,69.8,59,1,17.22,1601523133
438,43.74,135.29,60.85,59,74,12.5,1601523300
439,36.75,-3.02,68.0,94,75,5.82,1601523301
440,29.58,-9.5,64.99,76,0,1.21,1601523301
441,-21.34,55.48,71.6,64,90,6.93,1601523302
442,-12.49,130.98,95.0,52,20,10.29,1601523302
443,-29.68,-53.81,73.4,79,2,3.58,1601523050
444,-19.7,-46.17,74.52,44,75,5.84,1601523303
445,36.3,139.8,73.99,88,90,5.82,1601523304
446,34.64,-120.46,60.8,87,1,6.76,1601523304
447,16.78,94.73,85.37,80,91,10.27,1601523226
448,24.09,32.91,81.68,24,0,7.72,1601523305
449,17.42,121.44,84.69,73,97,3.42,1601523305
450,60.34,102.28,33.44,88,100,5.3,1601523306
451,7.28,124.31,88.2,62,29,6.8,1601523306
452,39.93,64.38,48.2,57,0,2.24,1601523306
453,42.53,-1.67,57.2,93,55,1.12,1601523307
454,-38.27,141.97,61.23,63,46,11.7,1601523307
455,13.22,-59.52,78.8,88,90,21.92,1601523307
456,20.52,-13.05,89.44,21,0,9.95,1601523308
457,13.91,-4.55,83.26,63,62,8.97,1601523308
458,37.73,-25.67,68.0,82,75,8.05,1601523309
459,14.76,5.77,80.6,78,0,2.24,1601523309
460,-41.41,175.52,59.0,58,13,12.75,1601523309
461,25.9,-97.5,69.01,72,1,3.36,1601523310
462,54.43,31.9,50.22,58,7,14.38,1601523310
463,4.25,-54.38,72.99,95,99,4.18,1601523310
464,-10.68,35.65,60.48,75,48,4.25,1601523310
465,9.33,-82.25,64.0,99,100,2.98,1601523311
466,55.75,38.0,52.0,87,98,6.71,1601523311
467,-31.47,19.78,45.03,74,100,5.64,1601523312
468,5.35,48.53,78.89,75,100,13.13,1601523312
469,43.52,-114.32,57.2,44,5,5.82,1601523187
470,37.46,-122.43,75.2,77,40,5.82,1601523078
471,37.61,-122.49,66.0,77,40,5.82,1601523313
472,24.48,118.08,80.6,57,20,8.95,1601523313
473,13.47,22.2,70.47,81,100,5.79,1601523314
474,25.7,100.18,73.11,65,54,3.24,1601523314
475,47.43,-72.78,47.97,93,49,8.63,1601523314
476,-38.95,-68.06,50.0,43,0,13.87,1601523022
477,2.92,73.57,82.33,75,100,8.77,1601523315
478,7.82,124.73,78.21,82,77,3.33,1601523315
479,-17.3,-48.28,79.38,30,61,3.15,1601523316
480,65.82,87.98,31.42,93,98,3.02,1601523316
481,-3.45,30.32,59.9,89,99,1.77,1601523316
482,48.22,18.61,57.99,95,98,8.99,1601523317
483,42.8,93.45,59.34,28,0,14.43,1601523317
484,38.89,-76.51,63.0,72,1,5.82,1601523317
485,22.17,83.35,73.36,81,100,0.69,1601523318
486,5.48,-53.2,79.56,84,82,11.45,1601523318
487,46.42,3.91,51.01,93,100,5.82,1601523172
488,5.31,100.44,87.8,74,20,6.93,1601523318
489,34.26,-88.7,62.6,72,1,4.7,1601523319
490,-16.5,-68.15,37.4,86,40,2.24,1601523319
491,22.57,59.53,86.68,40,0,5.35,1601523319
492,30.3,111.5,75.07,65,79,3.78,1601523320
493,18.39,42.45,60.8,72,6,1.7,1601523166
494,-3.37,135.48,86.88,62,77,5.7,1601523320
495,45.23,147.88,57.49,79,78,10.56,1601523320
496,61.47,-6.81,48.67,68,98,7.45,1601523321
